CD8T CD4T NK Bcell Mono Gran
A_1 0.136838876708236 0.226674978457815 0.0324192817497706 0.0802277597781709 0.274355480995688 0.24948362231032
B_2 0.268900107815253 0.190305831151132 0.100972379626295 0.152197941688546 0.201469507391137 0.0861542323276372
C_3 0.188208434836489 0.277375875539763 0.100546169366057 0.247881832891814 0.01865954728914 0.167328140076737
D_4 0.0883181266351415 0.333173183776166 0.179218658670053 0.0463913254767601 0.157175565929471 0.195723139512409
E_5 0.0815006826154136 0.143530176503439 0.253409140054282 0.0946938327871314 0.277150678908009 0.149715489131725
F_6 0.244253989661788 0.391760499497453 0.227089715271692 0.047541783320068 0.0483810896585745 0.0409729225904246
G_7 0.105725279412115 0.177142660120558 0.208993663557207 0.221134419249099 0.16157102586066 0.125432951800361
H_8 0.174037157491154 0.277875438597831 0.126625543974065 0.234946362886949 0.158262128921801 0.0282533681282004
I_9 0.247574747539514 0.089675198892366 0.0131833636458548 0.166976634104366 0.241641138900208 0.240948916917691
J_10 0.263315582202076 0.0790955742104125 0.0494182663860392 0.270167234987299 0.204273248050196 0.133730094163978
K_11 0.130904764064783 0.275620999267707 0.119327145917347 0.166094341208793 0.200323838608135 0.107728910933236
L_12 0.170085297401505 0.267583973538521 0.214735607403896 0.0419639316962655 0.103982231361647 0.201648958598166
M_13 0.165319613073742 0.228514464944116 0.015237411822949 0.249545736173609 0.256184666635348 0.0851981073502366
N_14 0.0757214607383313 0.147770378230001 0.190988901840071 0.369126382009547 0.102950736692542 0.113442140489509
O_15 0.102406468951571 0.133234057753292 0.340740039773313 0.213449078749902 0.0406000274671217 0.1695703273048
P_16 0.205268017138953 0.235249846395342 0.0522476968037039 0.247257164569557 0.136721422827328 0.123255852265117
Q_17 0.150977666277811 0.188007849424577 0.0571868948360577 0.171331576872021 0.254396624096486 0.178099388493047
R_18 0.383901569078464 0.1821640366505 0.145049855621785 0.0321259934595327 0.0634364531682102 0.193322092021508
S_19 0.134054619357452 0.0804375058080864 0.27909253901813 0.202199912335029 0.0723797433268797 0.231835680154422
T_20 0.197739959424413 0.181328181033791 0.182002319652838 0.199474882842925 0.00710534761417485 0.232349309431858
U_21 0.0463116595298264 0.129235729698964 0.202583625175422 0.268486875189608 0.261074556969972 0.0923075534362082
V_22 0.0891779237397 0.282239009932673 0.0522578481810788 0.131304777000667 0.147209176298028 0.297811264847853
W_23 0.140065305301519 0.215373822401734 0.250117062588282 0.2282372838723 0.0791311532622971 0.0870753725738684
X_24 0.115301173690695 0.144832361124579 0.164821751826375 0.137479584017521 0.240810343904381 0.19675478543645
Y_25 0.0570426934761416 0.000472157313920804 0.128234806894125 0.349784392941785 0.421324641232564 0.0431413081414644
Z_26 0.140038854456899 0.115987197150432 0.0410108449834826 0.291494745718683 0.252605443736732 0.158862913953772
AA_27 0.104874387346546 0.114483679927848 0.244644000694267 0.133951736116333 0.232783011886109 0.169263184028896
AB_28 0.129458890756027 0.188019840145045 0.141354605306266 0.206444910915807 0.190767680425667 0.143954072451188
AC_29 0.321647906169704 0.0971791573385453 0.381435166706946 0.0595504515631406 0.0379229206691161 0.102264397552548
AD_30 0.301301605728533 0.0656143148643993 0.0809215502828647 0.169233925849081 0.115154764290886 0.267773838984235
AE_31 0.133951621552782 0.180677712988837 0.198214297747979 0.122579036895132 0.20864611281078 0.155931218004491
AF_32 0.116902988403478 0.125819737712856 0.0887225076031408 0.30750012325784 0.116061579071074 0.244993063951611
AG_33 0.203940499001484 0.0894373012659777 0.188063242990645 0.232006109481771 0.285444248303243 0.00110859895687881
AH_34 0.274947497147389 0.0574983317087172 0.302201051924543 0.0390959537288838 0.245125729745946 0.0811314357445215
AI_35 0.162229733791184 0.0558020716465989 0.0818170896984452 0.323969465859948 0.109056803208476 0.267124835795348
AJ_36 0.275872038018677 0.12159033911542 0.0548811096392965 0.17303546143474 0.26567487218607 0.108946179605797
AK_37 0.146261383469426 0.14511673720041 0.189758017904818 0.240168489982667 0.104695277161961 0.174000094280717
AL_38 0.0294549310852158 0.195628133581284 0.244834508849652 0.00286771324517888 0.405442219762717 0.121772493475951
AM_39 0.295426717178334 0.00523525415431484 0.19255028218599 0.251397533332096 0.0408003114988969 0.214589901650368
AN_40 0.232991413046093 0.197557935414421 0.166195035024381 0.107203201973898 0.0850047810513811 0.211047633489826
AO_41 0.315776821951518 0.0840328123817395 0.171035331690248 0.0698695728993059 0.280172639192905 0.0791128218842831
AP_42 0.152883156895229 0.216203650038214 0.0654389860982719 0.249165234086415 0.16588674790361 0.15042222497826
AQ_43 0.223908191255354 0.256702001127857 0.0754280803642867 0.123898864312207 0.0698628263737566 0.250200036566539
AR_44 0.118441315535312 0.0596917310140912 0.255629862271941 0.0905299382432872 0.282557632946757 0.193149519988611
AS_45 0.0565504993533861 0.148301749457982 0.0984274111928668 0.244095277103311 0.246793786548789 0.205831276343665
AT_46 0.255508835130886 0.194169029091717 0.163206695372942 0.150303060434767 0.232545471937755 0.00426690803193267
AU_47 0.248057033727866 0.148311742218988 0.0777646356355302 0.257178759937266 0.0363875226549494 0.2323003058254
AV_48 0.135855895199419 0.211383564876738 0.155166375375778 0.193501661616733 0.0813012740508588 0.222791228880473
AW_49 0.206018934074109 0.0987456003539203 0.202359919655875 0.347642315779733 0.140298690793704 0.00493453934265985
AX_50 0.255124779930609 0.158298604320253 0.0932226599476648 0.321650540464154 0.165056329006254 0.00664708633106554
AY_51 0.0400730517882494 0.277437928082599 0.4984116497504 0.0333413142599161 0.0462146356004441 0.104521420518391
AZ_52 0.0129305947849603 0.250912741660796 0.0783934397858975 0.341202072679353 0.286609431403423 0.0299517196855693
BA_53 0.225066557536864 0.175193960024247 0.0579817807043177 0.187587879302653 0.233740582187179 0.12042924024474
BB_54 0.173987472839653 0.200498887947984 0.360397478297545 0.0987958801360195 0.052955046254331 0.113365234524468
BC_55 0.0417969801630809 0.195861251161214 0.245155440229119 0.172936899837862 0.249983170470831 0.0942662581378938
BD_56 0.040670213054499 0.203745216846001 0.0448180087343494 0.256080700894817 0.249829910985799 0.204855949484534
BE_57 0.143130148095091 0.00222518924424756 0.256079815735589 0.253079228305713 0.231074177414187 0.114411441205173
BF_58 0.0634113383237189 0.194443818788174 0.156758229163174 0.258797375684107 0.092949244079402 0.233639993961424
BG_59 0.181326108783524 0.128729832215118 0.200338984848871 0.0421469493555135 0.234361711418114 0.213096413378858
BH_60 0.165125639369851 0.159282687629049 0.26865080066955 0.225869256517921 0.057467134843608 0.123604480970021
BI_61 0.213159572547956 0.145171288511554 0.169811711044531 0.124129070092834 0.284630905556977 0.063097452246147
BJ_62 0.115238476802839 0.423330572336248 0.143800982387638 0.0412081429515481 0.189928627817734 0.086493197703993
BK_63 0.226616004377532 0.210944325349275 0.154042894048072 0.0329900905348835 0.17554416184671 0.199862523843527
BL_64 0.010552304619088 0.261314530785943 0.14405077452459 0.0312776746669415 0.338617283926268 0.214187431477169
BM_65 0.225920324893355 0.418617565485954 0.0786071964684463 0.1602692941449 0.0377208692649335 0.0788647497424105
BN_66 0.0508553262336676 0.0592556667080991 0.14687925888907 0.240952569768088 0.297633070849284 0.204424107551792
BO_67 0.242455451548246 0.26290587586753 0.212207759104665 0.0556513342567156 0.0257879780052546 0.200991601217588
BP_68 0.0782097452770855 0.462782276881265 0.211705707658957 0.061214237435911 0.160236297394346 0.0258517353524355
BQ_69 0.146997248511532 0.0663024407569647 0.23496495793167 0.140105670156428 0.291753956889836 0.119875725753569
BR_70 0.0318883922922131 0.242423563588603 0.0794787532529647 0.16676870537439 0.235102491540011 0.244338093951818
BS_71 0.0647392372677601 0.187270302602439 0.17130267660553 0.327909824805945 0.148376965373 0.100400993345326
BT_72 0.138133928364201 0.251237149099917 0.195275719743743 0.146893869610337 0.225264326854706 0.0431950063270958
BU_73 0.311666137094082 0.225515717107617 0.0404579921199928 0.00703391005117878 0.280325342665296 0.135000900961833
BV_74 0.164719608708318 0.111167476743374 0.104328055479013 0.190741864444613 0.234259674821868 0.194783319802814
BW_75 0.201973798780106 0.24681622317739 0.220794275070102 0.0340796966726964 0.0745314578794657 0.22180454842024
BX_76 0.255564077079664 0.284495611412431 0.153263995418524 0.0481607734390943 0.0123406073390256 0.24617493531126
BY_77 0.1875139228743 0.261930745334044 0.24352002467242 0.212412986575361 0.0229567044000591 0.0716656161438164
BZ_78 0.241719031076133 0.307532601747229 0.152618652510444 0.0627210804881044 0.12339231622709 0.112016317951
CA_79 0.168471271389202 0.0914666867733401 0.0193757997856381 0.199033084493862 0.288777834338158 0.232875323219799
CB_80 0.167712471104825 0.0962024076774271 0.18879215098891 0.0985759650980884 0.266137694799411 0.182579310331338
CC_81 0.246344618552542 0.253180656931831 0.0598335940969953 0.266318760746629 0.145647582805433 0.0286747868665699
CD_82 0.119769569736991 0.20249477609048 0.0414555008366961 0.276999363261312 0.237107223729432 0.122173566345088
CE_83 0.0706579111425015 0.266440703276654 0.202353512319931 0.268724361379036 0.084768971535926 0.107054540345951
CF_84 0.18676398444785 0.167713496310913 0.0224611498210228 0.282330933241625 0.102051990730668 0.238678445447922
CG_85 0.239514445232024 0.0520050202471051 0.200130867947485 0.0599219199814706 0.21356203128542 0.234865715306495
CH_86 0.113198491932142 0.387730711335492 0.0232798675762836 0.12348995307951 0.0877265063293176 0.264574469747254
CI_87 0.101353256307179 0.145635220144146 0.266620025788738 0.125701073444646 0.252040607096281 0.108649817219009
CJ_88 0.0500688730938155 0.052578870927679 0.233414368892375 0.353873239972077 0.101134364671126 0.208930282442927
CK_89 0.0570481485500741 0.140248275790081 0.233372206606321 0.253146738741718 0.2269851179903 0.0891995123215059
CL_90 0.254086393569207 0.196697591805169 0.140705542448877 0.120321526803183 0.0174010684050104 0.270787876968553
